# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0.94125 -0.870251 
0.9425 -0.844814 
0.94375 -0.81923 
0.945 -0.793529 
0.94625 -0.767736 
0.9475 -0.74188 
0.94875 -0.715989 
0.95 -0.69009 
0.95125 -0.664214 
0.9525 -0.638387 
0.95375 -0.612641 
0.955 -0.587003 
0.95625 -0.561504 
0.9575 -0.536173 
0.95875 -0.511041 
0.96 -0.486139 
0.96125 -0.461495 
0.9625 -0.437142 
0.96375 -0.413109 
0.965 -0.389429 
0.96625 -0.366132 
0.9675 -0.34325 
0.96875 -0.320815 
0.97 -0.298857 
0.97125 -0.277409 
0.9725 -0.256503 
0.97375 -0.236171 
0.975 -0.216445 
0.97625 -0.197358 
0.9775 -0.178942 
0.97875 -0.16123 
0.98 -0.144254 
0.98125 -0.128047 
0.9825 -0.112643 
0.98375 -0.0980738 
0.985 -0.0843734 
0.98625 -0.071575 
0.9875 -0.0597119 
0.98875 -0.0488179 
0.99 -0.0389266 
0.99125 -0.030072 
0.9925 -0.0222881 
0.99375 -0.0156092 
0.995 -0.0100696 
0.99625 -0.00570393 
0.9975 -0.00254706 
0.99875 -0.000633997 
1 0 


